Count 	Phrase
21 	year of the reign of the judges,
20 	, verily, I say unto you,
20 	: 22 And it came to pass that
20 	it came to pass that when they had
19 	. And it came to pass that they
19 	: 25 And it came to pass that
19 	And it came to pass that the people
28 	: 1 And now it came to pass that
26 	it came to pass that I, Nephi,
17 	And it came to pass that when they had
14 	Verily, verily, I say unto you,
13 	it came to pass in the commencement of the
12 	And it came to pass that the Lamanites did
12 	And it came to pass that when Jesus had
11 	. And it came to pass that they did
11 	: 10 And it came to pass that the
11 	: 5 And it came to pass that the
11 	and first year of the reign of the judges
10 	: 1 And it came to pass that the
10 	: 19 And it came to pass that the
10 	: 9 And it came to pass that they
10 	And it came to pass that the brother of
10 	now it came to pass that when Jesus had
9 	: 21 And it came to pass that the
9 	cut off from the presence of the Lord.
8 	? Behold, I say unto you, Nay
8 	And it came to pass that on the morrow
8 	And it shall come to pass in that day
8 	and sixth year of the reign of the judges
8 	year of the reign of the judges, there
7 	: 1 And now, it came to pass
7 	: 1 Behold, now it came to pass
7 	: 13 And it came to pass that the
7 	: 2 And it came to pass that the
7 	: 7 And it came to pass that he
7 	And it came to pass that he said unto
7 	And it came to pass that the Lord did
7 	And it came to pass that when the Lamanites
7 	all nations, kindreds, tongues, and people
7 	of gold, and of silver, and of
6 	, verily, I say unto you, that
6 	. And it came to pass that we did
6 	: 1 And it came to pass in the
6 	: 1 And it came to pass that after
6 	: 12 And it came to pass that he
6 	: 12 And it came to pass that when
6 	: 18 And it came to pass that they
6 	: 20 And it came to pass that they
21 	And it came to pass that I, Nephi,
12 	it came to pass that I, Nephi, did
9 	And it came to pass that the voice of the
9 	And now it came to pass that when Jesus had
7 	: 1 And now it came to pass in the
7 	: 1 And now it came to pass that when
7 	And it came to pass in the commencement of the
7 	And it came to pass that the brother of Jared
6 	. 1 : 12 And it came to pass that
6 	: 1 And now, it came to pass that
6 	: 1 And now it came to pass that after
6 	: 1 Behold, now it came to pass that
6 	Chapter 2 2 : 1 And it came to pass
6 	it came to pass that in the three hundred and
5 	And it came to pass that when they had all
5 	the God of Isaac, and the God of Jacob
5 	the Lord of the vineyard said unto his servant :
5 	the Lord of the vineyard said unto the servant :
4 	. 1 : 15 And it came to pass that
4 	. 1 : 19 And it came to pass that
4 	. 11 : 12 And it came to pass that
4 	. 11 : 13 And it came to pass that
4 	. 3 : 21 And it came to pass that
4 	. 6 : 6 And it came to pass that
4 	: 1 And it came to pass that they did
4 	: 5 And it came to pass that the Lord
4 	And it came to pass that I looked and beheld
4 	And it came to pass that the armies of the
4 	And it shall come to pass in that day,
4 	And it shall come to pass in that day that
